Subject.ID,6,4,7,5,5,7,4,6,4,7,5,6
1,some,some,many,some,many,some,some,many,some,many,some,many
2,many,some,many,some,many,many,some,many,some,many,some,many
3,other,some,some,other,many,many,some,many,some,some,many,some
4,many,some,many,some,some,many,many,other,some,many,some,many
5,other,some,many,many,many,many,some,other,many,many,many,many
6,some,many,some,some,many,many,many,some,other,other,other,other
7,some,some,many,some,some,many,some,many,some,some,many,many
8,many,some,many,other,many,other,some,many,some,many,many,many
9,other,some,some,many,many,many,some,many,some,other,other,some
10,some,other, many,some,some,many,some,some,some,many,some,some
11,many,some,many,some,many,many,some,many,other,other,other,other
12,other,some,many,some,some,many,some,other,many,many,many,many
13,some,some,some,some,some,some,some,many,some,some,some,some
14,many,some,many,some,some,many,some,many,some,many,other,other
15,many,some,many,some,some,many,some,many,some,some,many,some
16,some,some,some,some,some,some,some,some,some,some,some,some
17,many,some,many,many,other,many,some,many,some,many,some,many
18,some,some,many,many,many,many,some,many,some,many,many,many
19,many,some,many,some,many,some,many,some,some,many,some,many
20,some,other,some,some,many,many,some,many,many,many,some,many
21,some,many,many,some,many,many,some,many,some,many,some,many
22,some,some,many,some,many,many,some,many,some,some,many,many
23,many,some,many,some,many,other,some,many,some,many,some,many
