Subject ID,Age,check-1,3-1,4-1,5-1,6-1,7-1,check-2,3-2,4-2,5-2,6-2,7-2,check-3,3-3,4-3,5-3,6-3,7-3,PE-check-1,PE-3-1,PE-4-1,PE-5-1,PE-6-1,PE-7-1,PE-check-2,PE-3-2,PE-4-2,PE-5-2,PE-6-2,PE-7-2,PE-check-3,PE-3-3,PE-4-3,PE-5-3,PE-6-3,PE-7-3
10/4/19-01,4.13,x,some,some,some,many,some,x,some,some,some,many,many,x,some,many,some,some,many,x,some,some,some,many,many,x,some,many,some,many,many,x,some,many,some,some,many
10/4/19-02,5.21,x,some,some,many,many,many,x,some,many,some,many,many,x,some,some,many,many,other,x,some,some,some,many,many,x,many,some,some,many,many,x,some,some,some,many,many
10/11/19-01,5.62,x,some,many,many,many,many,x,some,some,many,some,many,x,some,some,many,many,many,x,many,many,many,many,some,x,some,many,many,many,many,x,some,some,many,many,many
10/11/19-02,4.11,x,some,some,other,many,many,x,some,some,some,many,many,x,some,some,some,some,many,x,some,some,some,many,some,x,some,some,some,many,some,x,some,some,some,other,other
10/13/19-01,4.92,x,some,some,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some
10/13/19-02,4.33,x,some,some,some,many,many,x,many,some,some,many,many,x,some,some,some,many,other,x,some,some,some,many,many,x,some,some,many,some,many,x,some,some,many,many,other
10/13/19-03,4.78,x,many,many,some,some,some,x,some,many,many,many,many,x,some,many,many,many,some,x,many,many,some,some,many,x,many,some,some,many,many,x,some,some,many,many,many
10/13/19-04,4.1,x,some,some,many,many,other,x,some,some,some,many,many,x,some,some,some,some,many,x,some,some,some,some,many,x,some,some,some,many,many,x,some,some,some,some,many
10/15/19-01,5.32,x,some,some,many,many,many,x,some,other,some,other,other,x,some,some,some,many,many,x,some,other,some,some,some,x,other,other,other,other,other,x,some,many,some,many,other
10/15/19-02,4.67,x,some,some,some,many,many,x,some,some,some,many,many,x,some,many,many,some,many,x,some,some,some,many,many,x,some,some,some,many,many,x,some,some,many,some,other
10/15/19-03,4,x,some,some,many,many,many,x,some,some,other,other,many,x,some,some,some,many,many,x,some,some,some,many,many,x,some,some,other,many,many,x,some,some,many,many,many
10/15/19-04,5.88,x,some,some,some,many,some,x,some,some,some,some,many,x,many,some,many,some,some,x,some,many,some,some,many,x,many,some,some,many,many,x,some,some,some,many,some
10/15/19-05,5.2,x,some,some,many,many,many,x,some,some,many,many,many,x,some,some,many,many,many,x,some,some,many,many,many,x,other,some,many,many,many,x,some,some,many,many,many
1/15/20-01,4.57,x,some,some,some,some,many,x,some,some,some,many,many,x,some,some,some,other,many,x,some,some,some,some,other,x,some,some,some,some,many,x,other,many,some,some,other
1/15/20-03,5,x,some,many,some,many,many,x,many,many,many,many,many,x,many,other,many,many,other,x,many,many,many,many,many,x,many,many,many,many,many,x,many,many,many,many,many
1/15/20-02,4.54,x,many,many,many,many,many,x,many,many,many,many,many,x,many,many,many,many,many,x,many,many,many,many,many,x,many,many,many,many,many,x,many,many,many,many,many
1/15/20-04,4.55,x,some,some,some,some,many,x,some,some,some,some,many,x,some,some,some,many,some,x,some,some,some,some,many,x,many,some,some,some,some,x,some,some,some,many,some
1/22/20-01,4.55,x,many,many,many,many,many,x,many,many,many,many,many,x,many,many,many,many,many,x,many,other,many,many,many,x,many,many,many,many,many,x,other,many,other,many,many
1/22/20-02,4.91,x,some,some,many,many,many,x,some,some,some,many,many,x,many,some,many,many,many,x,some,some,some,many,many,x,some,some,some,some,many,x,some,some,some,many,many
1/22/20-03,4.56,x,some,some,many,many,many,x,some,some,some,many,many,x,some,some,many,many,many,x,some,some,many,many,many,x,some,some,some,many,many,x,some,some,some,many,many
