Subject ID,Gender,Order,Age,catch 1,PE.4,PE.6,PE.3,PE.7,PE.5,catch 2,PE.6,PE.4,PE.7,PE.5,PE.3,catch 3,PE.7,PE.5,PE.3,PE.6,PE.4,catch 4,catch 5,4,6,3,7,5,catch 6,6,4,7,5,3,catch 7,7,5,3,6,4,catch 8,Notes
06-30-20-02,F,1,4.89,,some,some,some,some,some,x,some,some,some,some,some,x,many,some,some,some,some,x,x,some,some,some,some,some,x,many,some,many,some,some,x,many,some,some,some,some,x,
07-09-20-01,M,1,4.36,x,some,many,some,"other- ""a lot""",some,x,other- a lot,some,"other- ""a lot""","other- ""a lot""",some,x,many,"other- ""a lot""",some,"other- ""a lot""",some,x,x,some,many,many,"other- ""a lot""","other- ""a lot""",x,many,some,many,"other- ""a lot""",some,x,"other- ""a lot""","other- ""a few""",some,"other- ""a lot""",some,x,
7-17-20-01,F,1,4.83,x,some,some,some,many,some,x,some,some,many,many,some,x,many,some,some,some,many,x,x,some,many,some,some,some,x,some,some,some,some,some,x,some,some,some,some,many,x,
7-24-20-01,F,1,5.19,x,some,some,some,many,some,x,some,some,some,some,some,x,many,some,some,many,some,x,x,some,many,some,many,some,x,many,some,many,some,some,x,many,some,many,many,some,x,
8-12-20-01,M,1,4.02,other,some,some,some,"other- ""a lot""",some,x,other- most,some,other- most,many,some,x,many,many,some,many,some,all of them are rocks,most of them ,some,some,some,many,many,x,some,some,many,some,some,x,many,some,other- 3,some,some,all of them are rocks,
8-12-20-02,M,1,4.99,one of them,some,some,some,many,some,x,some,some,some,some,some,none,some,some,some,some,some,x,one of them,some,some,some,many,some,x,many,some,many,some,some,many,many,some,some,some,some,x,
8-15-20-02,F,1,5.46,all of them are mostly candy,some,other- lots,some,many,other,x,other- lots,other,other- lots,other,some,x,many,other,some,other- lots,other,skipped,x,some,many,some,other- lots,some,x,other-lots,some,many,some,some,x,many,many,some,other-lots,some,skipped,
8-31-20-01,M,1,4.54,x,some,some,some,many,some,x,some,some,many,some,some,x,many,many,many,many,some,x,x,some,many,some,many,some,x,many,some,many,some,some,x,many,some,some,many,some,x,
9-3-20-02,F,2,5.55,x,skipped- technical issue,some,many,other- a lot,some,x,some,some,other- lots,some,some,none,other- lot,skipped,some,some,some,x,x,some,some,some,many,some,x,some,some,many,some,some,many,skipped,some,some,some,some,x,technical issues
10-01-20-01,M,2,4.04,all,other-all,many,some,many,some,x,inaudible,not answered,other- all,many,some,x,inaudible,other - a lot,many,other- all,some,x,x,many,many,many,many,other-none/inaudible,x,some,many,many,some,some,x,skipped,inaudible,many,some,many,skipped,very distracted
10-02-20-01,M,2,4.13,one rock,other,other,some,other,some,x,skipped,skipped,other,other,other,skipped,skipped,skipped,skipped,skipped,skipped,x,one rock,some,other,other,other,some,x,some,some,other,some,other,x,other,some,other,some,some,x,"section skipped because child would not answer ""some"" or ""many"""
4-13-21-01,M,2,5,x,some,many,some,many,other,x,many,some,many,other,some,full,skipped,skipped,skipped,skipped,skipped,zero,x,some,many,some,many,other,x,many,some,many,other,some,skipped,skipped,skipped,skipped,skipped,skipped,zero,section skipped because child was bored; maybe not native english speaker
4-28-21-01,F,2,4.32,x,some,many,some,many,some,x,many,many,many,some,some,x,skipped,many,some,many,some,x,x,many,many,some,many,some,x,many,some,many,inaudible,some,x,many,some,some,many,some,x,
4-28-21-03,F,2,4.45,x,other,some,other,some,some,x,other - a lot,skipped,skipped,some,other,skipped,skipped,skipped,skipped,skipped,skipped,x,x,other,other,other,other - a lot,some,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,"section skipped because child would not answer ""some"" or ""many"""
5-01-21-02,M,2,4.79,x,some,some,many,some,some,x,skipped,skipped,some,some,many,skipped,skipped,skipped,skipped,skipped,skipped,x,x,skipped,some,other,some,some,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,x,section skipped because child was distracted
5-05-21-02,F,2,4.3,x,some,some,some,some,some,x,many,some,many,some,some,some,many,many,some,many,some,x,x,some,some,some,some,some,x,many,some,many,some,some,a lot,some,some,some,some,some,x,
