Subject ID,Gender,Age,catch 1,PE.4,PE.6,PE.3,PE.7,PE.5,catch 2,PE.6,PE.4,PE.7,PE.5,PE.3,catch 3,PE.7,PE.5,PE.3,PE.6,PE.4,catch 4,catch 5,4,6,3,7,5,catch 6,6,4,7,5,3,catch 7,7,5,3,6,4,catch 8,Notes
7-02-20-02,M,4.22,x,some,other- a lot,other-not many,other- a lot,other- a tie,x,other,other,other- lots,other- tie,some,x,other- a lot,other,other,some,other- medium,x,x,many,many,some,other- lots,many,x,other- a lot,some,some,many,other- little bit,x,many,some,some,some,some,x,
7-10-20-01,M,5.11,x,some,many,some,many,other- lots,x,many,some,other- lots,many,some,x,many,many,some,many,some,x,x,some,some,some,many,other- lots,x,many,some,many,many,some,x,many,many,some,many,some,x,
7-16-20-01,M,4.75,-,some,some,some,other- lots,some,x,other-lots,many,other- lots,some,some,x,some,some,some,some,some,x,x,some,some,some,other- lots,many,x,some,some,other- lots,some,some,x,some,some,many,some,some,x,
8-6-20-01,F,4.14,x,some,some,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some,x,x,some,some,some,many,some,x,some,some,many,some,some,x,some,some,some,some,some,x,
8-10-20-01,F,5.14,x,some,other,some,other- a lot,some,x,other- a lot,other- a lot,many,many,some,x,many,many,some,many,some,x,x,some,many,some,other- a lot,many,x,many,inaudible,many,some,many,x,many,many,some,many,many,-,
8-12-20-03,F,5.57,x,some,some,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some,x,x,some,some,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some,x,
8-14-20-01,F,4.45,x,some,many,some,many,some,x,many,some,many,some,some,x,some,some,some,many,some,x,x,some,many,some,many,some,x,many,some,many,some,some,x,many,some,some,many,some,x,
8-29-20-01,F,4.96,x,some,inaudible,some,other- a lot,many,x,many,some,many,some,some,x,many,some,some,many,some,x,x,some,many,some,many,some,x,some,some,many,some,some,x,many,some,some,many,some,x,
8-31-20-02,F,5.17,x,some,many,some,many,many,x,many,some,many,many,some,x,many,many,some,many,some,x,x,some,many,some,many,many,x,many,some,many,some,some,x,many,many,some,many,some,x,
9-15-20-01,F,5.51,x,some,some,some,some,some,x,skipped,skipped,some,some,some,skipped,skipped,skipped,some,skipped,skipped,x,x,some,some,some,some,some,skipped,skipped,skipped,some,some,some,skipped,skipped,skipped,skipped,skipped,skipped,x,skipped section because child was bored
10-06-20-01,F,4.39,x,some,many,some,many,some,x,some,some,other,many,some,x,some,some,some,some,some,x,x,some,some,some,some,some,x,some,some,some,some,some,x,many,some,some,some,some,x,
10-20-20-01,M,4.68,x,other- a little bit,many,some,other,some,x,many,some,many,many,some,x,many,some,some,other- a lot,some,x,x,other,many,some,many,many,x,many,some,many,many,some,x,many,many,some,many,some,x,
10-31-20-01,M,5.46,x,some,many,some,many,some,x,many,some,many,some,some,x,many,many,some,many,some,x,x,some,many,some,many,some,x,many,other,many,other,other,x,many,many,some,many,other,x,
2-12-21-01,F,5.11,x,some,some,some,some,some,x,some,some,some,some,some,skipped,skipped,skipped,skipped,skipped,skipped,x,x,some,other,some,many,other - a lot,x,some,some,many,many,some,x,many,some,some,some,some,x,
4-17-21-01,F,4.79,x,some,some,some,many,some,x,many,many,many,some,some,x,skipped,some,skipped,skipped,some,x,x,some,many,some,many,many,x,many,some,many,some,some,x,many,many,some,many,some,x,
4-28-21-02,M,4.79,x,some,many,some,many,some,x,many,some,many,some,some,x,skipped,skipped,skipped,skipped,skipped,x,x,some,many,some,many,many,x,many,some,many,many,some,x,many,many,some,many,some,x,
