Particpant,Age,Gender,Condition,catch 1,5,7,3,6,4,check 2,3,5,7,4,6,check 3,4,6,3,5,7,check 4,check 5,S.5,S.7,S.3,S.6,S.4,check 6,S.3,S.5,S.7,S.4,S.6,check 7,S.4,S.6,S.3,S.5,S.7,check 8,Notes
7/17/2021-01,4.75,M,Some-First,x,some,many,some,some,some,x,some,some,many,some,some,x,some,some,some,some,skipped,x,x,some,many,some,many,some,x,some,some,many,many,some,x,some,some,some,some,many,x,
7/18/2021-01,4.58,M,Some-First,x,some,some,some,other,some,x,some,some,many,some,other,x,some,other,some,other,other,x,x,some,some,some,other,skipped,skipped,some,some,many,some,some,x,some,some,some,some,other,x,a couple skipped due to technical difficulties
7/19/2021-01,4.58,M,Some-First,x,some,many,some,many,some,x,some,some,many,some,some,x,some,some,some,some,many,x,x,some,many,some,many,some,x,some,some,some,some,many,x,some,some,some,some,many,x,
7/21/2021-01,4.16,F,Some-First,x,some,many,some,many,other,x,some,some,many,some,some,x,some,some,some,some,skipped,skipped,x,some,some,some,some,some,x,some,some,many,some,some,x,some,some,some,some,many,x,a couple skipped because the child asked to move on to the next section
8/2/2021-01,4.7,F,Some-First,x,some,some,many,many,many,x,inaudible,inaudible,other,other,some,x,some,some,many,some,many,x,x,some,some,many,some,many,x,some,many,many,many,many,x,many,many,many,many,many,x,
8/2/2021-02,5.87,M,Some-First,x,some,many,some,some,some,x,some,some,many,some,many,x,some,some,some,some,many,x,x,some,many,some,many,some,x,some,many,many,some,many,x,some,many,some,many,many,x,
8/2/2021-05,5.5,M,Some-First,x,some,some,some,some,many,x,many,some,many,some,many,x,many,some,many,some,many,x,x,many,some,many,some,many,x,some,some,some,many,many,x,many,some,some,many,many,x,
8/6/2021-01,4.4,F,Some-First,x,many,many,some,many,some,x,skipped,skipped,many,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,x,x,some,many,some,many,some,x,skipped,skipped,many,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,x,child said it was boring and wanted to skip a lot
8/6/2021-03,5.5,M,Some-First,x,many,many,some,some,some,x,some,some,many,some,many,x,other,many,some,some,many,x,x,some,many,some,many,some,x,some,some,many,some,many,x,many,some,some,some,many,x,
8/7/2021-01,4.39,F,Some-First,x,some,many,some,some,some,x,some,many,other- a lot,many,some,x,some,many,many,many,many,x,x,some,many,some,many,some,x,some,many,many,many,some,x,many,some,many,some,many,x,
8/7/2021-03,5.6,M,Some-First,x,some,many,some,some,some,x,some,some,many,some,many,x,some,skipped,some,some,many,x,x,some,many,some,some,some,x,skipped,some,many,some,many,x,some,many,some,some,many,x,
8/10/2021-01,4.91,F,Some-First,x,some,some,some,many,some,x,some,some,some,some,many,x,some,many,other- a little,many,some,x,x,other- not much,many,some,many,some,x,some,some,many,some,some,x,some,some,some,some,many,x,
8/10/2021-03,5.01,M,Some-First,x,some,many,some,many,some,x,some,many,many,some,many,x,some,some,some,some,many,x,x,some,many,some,many,some,x,some,some,many,some,many,x,some,many,some,some,many,x,
8/10/2021-05,4.79,M,Some-First,x,some,many,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some,x,x,some,some,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some,x,
8/12/2021-02,5.09,M,Some-First,x,some,many,some,some,some,x,some,other- the same,many,some,many,x,some,many,some,some,many,x,x,some,many,some,many,some,x,some,some,many,some,many,x,some,some,some,some,many,x,
8/16/2021-01,5.84,F,Some-First,x,some,some,some,some,some,x,some,some,some,some,some,x,some,some,some,some,some,x,x,some,some,some,some,some,skipped,skipped,skipped,some,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,x,some skipped because child was bored
8/22/2021-03,5.72,M,Some-First,x,some,many,some,many,some,x,some,other,many,some,other- a lot,x,some,many,some,other,many,x,x,other,many,some,many,many,x,some,some,many,some,many,x,some,many,some,some,many,x,
8/25/21-01,4,F,Some-First,x,some,some,some,many,some,x,some,some,many,many,many,x,some,inaudible,some,some,some,x,x,many,inaudible,many,inaudible,inaudible,x,some,some,inaudible,some,many,x,many,inaudible,some,some,other- a lot,x,child had articulation issues
8/27/21-01,5.18,F,Some-First,x,some,many,some,some,some,x,some,some,many,some,some,skipped,skipped,skipped,skipped,skipped,skipped,x,x,some,many,some,many,some,x,some,some,many,some,many,x,skipped,skipped,skipped,skipped,skipped,x,some skipped because child was bored
